X,y
0.0,4.0
0.01,4.009949958957343
0.02,4.019799676634939
0.03,4.029548925383844
0.04,4.039197492316159
0.05,4.0487451791846345
0.06,4.058191802261651
0.07,4.067537192217598
0.08,4.076781193998671
0.09,4.085923666704111
0.1,4.094964483462903
0.11,4.103903531309956
0.12,4.11274071106179
0.13,4.121475937191742
0.14,4.130109137704713
0.15,4.138640254011485
0.16,4.1470692408026135
0.17,4.155396065921932
0.18,4.163620710239666
0.19,4.171743167525208
0.2,4.179763444319535
0.21,4.18768155980732
0.22,4.195497545688738
0.23,4.2032114460509895
0.24,4.210823317239569
0.25,4.218333227729282
0.26,4.225741257995038
0.27,4.233047500382441
0.28,4.24025205897819
0.29,4.247355049480304
0.3,4.254356599068196
0.31,4.261256846272621
0.32,4.268055940845488
0.33,4.27475404362959
0.34,4.281351326428242
0.35000000000000003,4.287847971874847
0.36,4.294244173302428
0.37,4.300540134613117
0.38,4.306736070147625
0.39,4.312832204554726
0.4,4.318828772660741
0.41000000000000003,4.324726019339067
0.42,4.330524199379753
0.43,4.336223577359133
0.44,4.341824427509547
0.45,4.347327033589153
0.46,4.35273168875185
0.47000000000000003,4.358038695417332
0.48,4.363248365141273
0.49,4.368361018485675
0.5,4.373376984889384
0.51,4.378296602538785
0.52,4.383120218238708
0.53,4.387848187283533
0.54,4.39248087332853
0.55,4.397018648261436
0.56,4.401461892074287
0.5700000000000001,4.405810992735517
0.58,4.4100663460623375
0.59,4.414228355593412
0.6,4.418297432461834
0.61,4.422273995268428
0.62,4.426158469955378
0.63,4.429951289680205
0.64,4.433652894690099
0.65,4.437263732196618
0.66,4.440784256250771
0.67,4.444214927618488
0.68,4.447556213656503
0.6900000000000001,4.4508085881886394
0.7000000000000001,4.4539725313825365
0.71,4.457048529626799
0.72,4.460037075408609
0.73,4.4629386671917874
0.74,4.465753809295326
0.75,4.46848301177241
0.76,4.471126790289914
0.77,4.473685666008417
0.78,4.476160165462714
0.79,4.478550820442855
0.8,4.480858167875715
0.81,4.483082749707093
0.8200000000000001,4.485225112784382
0.8300000000000001,4.487285808739766
0.84,4.489265393874015
0.85,4.4911644290408335
0.86,4.492983479531805
0.87,4.494723114961921
0.88,4.496383909155725
0.89,4.4979664400340456
0.9,4.499471289501368
0.91,4.500899043333816
0.92,4.5022502910677735
0.93,4.503525625889145
0.9400000000000001,4.5047256445232655
0.9500000000000001,4.505850947125462
0.96,4.5069021371722835
0.97,4.5078798213533915
0.98,4.508784609464135
0.99,4.509617114298804
1.0,4.510377951544573
1.01,4.511067739676138
1.02,4.511687099851057
1.03,4.512236655805804
1.04,4.512717033752521
1.05,4.513128862276507
1.06,4.513472772234418
1.07,4.513749396653208
1.08,4.5139593706298
1.09,4.514103331231496
1.1,4.514181917397139
1.11,4.514195769839021
1.12,4.514145530945546
1.1300000000000001,4.514031844684658
1.1400000000000001,4.513855356508029
1.1500000000000001,4.513616713256017
1.16,4.513316563063395
1.17,4.512955555265864
1.18,4.512534340307338
1.19,4.5120535696480175
1.2,4.511513895673255
1.21,4.510915971603203
1.22,4.510260451403269
1.23,4.509547989695358
1.24,4.508779241669924
1.25,4.5079548629988215
1.26,4.507075509748965
1.27,4.506141838296801
1.28,4.505154505243592
1.29,4.50411416733151
1.3,4.503021481360554
1.31,4.501877104106286
1.32,4.500681692238385
1.33,4.4994359022400285
1.34,4.498140390328096
1.35,4.4967958123742005
1.36,4.495402823826553
1.37,4.49396207963265
1.3800000000000001,4.492474234162797
1.3900000000000001,4.490939941134466
1.4000000000000001,4.489359853537482
1.41,4.487734623560047
1.42,4.4860649025156025
1.43,4.484351340770522
1.44,4.482594587672651
1.45,4.480795291480669
1.46,4.478954099294308
1.47,4.477071656985397
1.48,4.475148609129748
1.49,4.473185598939883
1.5,4.471183268198602
1.51,4.469142257193379
1.52,4.4670632046516126
1.53,4.464946747676704
1.54,4.462793521684972
1.55,4.460604160343415
1.56,4.458379295508303
1.57,4.456119557164602
1.58,4.453825573366247
1.59,4.451497970177234
1.6,4.449137371613558
1.61,4.446744399585977
1.62,4.444319673843605
1.6300000000000001,4.4418638119183464
1.6400000000000001,4.439377429070147
1.6500000000000001,4.436861138233074
1.6600000000000001,4.434315549962234
1.67,4.431741272381496
1.68,4.42913891113205
1.69,4.426509069321787
1.7,4.4238523474754885
1.71,4.4211693434858415
1.72,4.418460652565261
1.73,4.415726867198534
1.74,4.412968577096265
1.75,4.410186369149139
1.76,4.407380827382976
1.77,4.404552532914611
1.78,4.401702063908548
1.79,4.398829995534438
1.8,4.395936899925337
1.81,4.393023346136757
1.82,4.390089900106519
1.83,4.387137124615379
1.84,4.38416557924845
1.85,4.381175820357398
1.86,4.378168401023415
1.87,4.375143871020979
1.8800000000000001,4.372102776782372
1.8900000000000001,4.369045661362971
1.9000000000000001,4.3659730644073145
1.9100000000000001,4.362885522115912
1.92,4.359783567212825
1.93,4.356667728914007
1.94,4.35353853289638
1.95,4.350396501267669
1.96,4.347242152536982
1.97,4.344076001586123
1.98,4.340898559641646
1.99,4.337710334247645
2.0,4.334511829239262
2.0100000000000002,4.331303544716934
2.02,4.328085977021347
2.0300000000000002,4.3248596187091195
2.04,4.321624958529188
2.05,4.318382481399908
2.06,4.315132668386855
2.07,4.311875996681328
2.08,4.308612939579551
2.09,4.305343966462558
2.1,4.302069542776773
2.11,4.29879013001527
2.12,4.295506185699711
2.13,4.292218163362956
2.14,4.2889265125323455
2.15,4.285631678713643
2.16,4.2823341033756455
2.17,4.279034223935438
2.18,4.275732473744309
2.19,4.272429282074304
2.2,4.269125074105427
2.21,4.265820270913473
2.22,4.262515289458492
2.23,4.2592105425738875
2.24,4.255906438956123
2.25,4.252603383155063
2.2600000000000002,4.249301775564904
2.27,4.246002012415735
2.2800000000000002,4.242704485765686
2.29,4.239409583493678
2.3000000000000003,4.236117689292758
2.31,4.232829182664039
2.32,4.229544438911199
2.33,4.226263829135571
2.34,4.222987720231805
2.35,4.219716474884083
2.36,4.216450451562917
2.37,4.213190004522478
2.38,4.2099354837985015
2.39,4.2066872352067115
2.4,4.203445600341813
2.41,4.200210916576997
2.42,4.196983517063985
2.43,4.1937637307336
2.44,4.190551882296857
2.45,4.187348292246555
2.46,4.184153276859395
2.47,4.180967148198594
2.48,4.177790214116991
2.49,4.174622778260657
2.5,4.1714651400729865
2.5100000000000002,4.168317594799267
2.52,4.165180433491733
2.5300000000000002,4.162053943015087
2.54,4.158938406052488
2.5500000000000003,4.1558341011119975
2.56,4.152741302533484
2.57,4.149660280495978
2.58,4.146591301025465
2.59,4.143534626003123
2.6,4.140490513173996
2.61,4.13745921615609
2.62,4.134440984449889
2.63,4.131436063448301
2.64,4.128444694447002
2.65,4.125467114655199
2.66,4.1225035572067785
2.67,4.119554251171873
2.68,4.1166194215687915
2.69,4.113699289376361
2.7,4.110794071546628
2.71,4.107903981017945
2.72,4.1050292267284245
2.73,4.102170013629749
2.74,4.0993265427013545
2.75,4.09649901096495
2.7600000000000002,4.093687611499399
2.77,4.090892533455932
2.7800000000000002,4.088113962073705
2.79,4.085352078695685
2.8000000000000003,4.082607060784861
2.81,4.079879081940783
2.82,4.077168311916406
2.83,4.074474916635257
2.84,4.0717990582088985
2.85,4.069140894954694
2.86,4.066500581413876
2.87,4.063878268369889
2.88,4.061274102867035
2.89,4.058688228229386
2.9,4.056120784079972
2.91,4.053571906360247
2.92,4.051041727349811
2.93,4.048530375686391
2.94,4.046037976386083
2.95,4.043564650863837
2.96,4.041110516954187
2.97,4.038675688932223
2.98,4.036260277534792
2.99,4.033864389981937
3.0,4.031488129998546
3.0100000000000002,4.029131597836235
3.02,4.026794890295438
3.0300000000000002,4.024478100747702
3.04,4.022181319158198
3.0500000000000003,4.019904632108423
3.06,4.0176481228191
3.0700000000000003,4.015411871173266
3.08,4.01319595373955
3.09,4.0110004437956235
3.1,4.00882541135184
3.11,4.0066709231750295
3.12,4.004537042812473
3.13,4.002423830616033
3.14,4.000331343766442
3.15,3.9982596362977416
3.16,3.996208759121875
3.17,3.9941787600534195
3.18,3.992169683834458
3.19,3.9901815721595866
3.2,3.988214463701051
3.21,3.9862683941340116
3.22,3.9843433961619246
3.23,3.982439499542047
3.24,3.9805567311110486
3.25,3.978695114810733
3.2600000000000002,3.976854671713869
3.27,3.9750354200501117
