dates,rates
2019-10-31,0.002
2020-04-30,0.00431709159584514
2020-10-30,0.00513437204910293
2021-04-30,0.00595155807365439
2021-10-30,0.00676883852691218
2022-04-30,0.00758611898016997
2022-10-30,0.00840339943342776
2023-04-30,0.00922058545797923
2023-10-30,0.010037865911237
2024-04-30,0.0108550519357885
2024-10-30,0.0116723323890463
2025-04-30,0.0124895184135977
2025-10-30,0.0133067988668555
2026-04-30,0.0141240793201133
2026-10-30,0.0149413597733711
2027-04-30,0.0157585457979226
2027-10-30,0.0165758262511804
2028-04-30,0.0173930122757318
2028-10-30,0.0182102927289896
2029-04-30,0.0190274787535411
2029-10-30,0.0198447592067989
2030-04-30,0.0206620396600567
2030-10-30,0.0214793201133144
2031-04-30,0.0222965061378659
2031-10-30,0.0231137865911237
2032-04-30,0.0239309726156752
2032-10-30,0.024748253068933
2033-04-30,0.0255654390934844
2033-10-30,0.0263827195467422
2034-04-30,0.0267
