dates,rates
2019-10-31,0.005
2020-04-30,0.0058
2020-10-30,0.0066
2021-04-30,0.0074
2021-10-30,0.0082
2022-04-30,0.009
2022-10-30,0.0098
2023-04-30,0.0106
2023-10-30,0.0114
2024-04-30,0.0122
2024-10-30,0.013
2025-04-30,0.0138
2025-10-30,0.0146
2026-04-30,0.0154
2026-10-30,0.0162
2027-04-30,0.017
2027-10-30,0.0178
2028-04-30,0.0186
2028-10-30,0.0194
2029-04-30,0.0202
2029-10-30,0.021
2030-04-30,0.0218
2030-10-30,0.0226
2031-04-30,0.0234
2031-10-30,0.0242
2032-04-30,0.025
2032-10-30,0.0258
2033-04-30,0.0266
2033-10-30,0.0274
2034-04-30,0.0282
